id_instr,position
CA135087YS77,8312.618745
CA135087YU24,14339.95253
CA135087ZC17,9885.014512
CA135087ZF48,12130.48111
CA135087ZL16,10148.70508
CA135087ZN71,8543.718212
CA135087ZQ03,10938.92798
CA135087ZR85,11499.18479
CA135087ZW70,8822.870768
CA135087ZX53,16614.54227
CA135087ZY37,8517.199976
CA135087A388,16500.90743
CA135087A537,9163.206986
CA135087A792,14914.45359
CA135087A958,10434.87543
CA135087B295,8479.193829
CA135087B527,10363.87237
