,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
2013-05-01,1.0285,1.0083,0.9268,6.1647,1.3192,1.5578,97.28,5.7601,0.8494,6.4734,1.2331,0.00030004125343707777,0.0006001350135009798,0.0007998400426538933,0.0010997800778875242,0.0020000884043911075,0.0030019716786382714,0.0065323420970940715,0.010842297709653425,0.01710442780161154,0.026049769501738276,0.03126783637807853
2013-05-02,1.026,1.0083,0.9348,6.156,1.3066,1.5519,97.96,5.7982,0.8497,6.53,1.235,0.00020001833435312477,0.0005000937578125697,0.0007998400426538933,0.0010997800778875242,0.0020000884043911075,0.0030019716786382714,0.0065323420970940715,0.010842297709653425,0.01710442780161154,0.026049769501738276,0.03110816795073136
2013-05-03,1.0313,1.0077,0.934,6.1555,1.3112,1.5563,99.1,5.7944,0.8538,6.4944,1.2341,0.00020001833435312477,0.0005000937578125697,0.0007998400426538933,0.0010997800778875242,0.0022002350932009084,0.003402862109125217,0.007340986786839695,0.011866401997707568,0.018366620607064156,0.02761290736695561,0.03273825708374362
2013-05-06,1.0248,1.0074,0.9393,6.1665,1.3067,1.5538,99.35,5.8294,0.8509,6.5375,1.2313,0.0001000045834613772,0.0004000600039999469,0.0007998400426538933,0.0010997800778875242,0.0022002350932009084,0.003402862109125217,0.007442593180708547,0.012073376820133378,0.018577584449691206,0.027832018634122036,0.0329676012887264
2013-05-07,1.0162,1.0051,0.9402,6.1539,1.3085,1.5468,99.0,5.8385,0.8443,6.5218,1.233,0.0001000045834613772,0.0004000600039999469,0.0007998400426538933,0.0009998000633112526,0.002200331460675773,0.0035033275636606187,0.0075435971150060845,0.012279748617461604,0.018787825874083994,0.028050523831448772,0.03319646441981639
2013-05-08,1.0183,1.0023,0.9349,6.141,1.3177,1.5563,98.9,5.7462,0.8394,6.4925,1.2274,0.0001000045834613772,0.0004000600039999469,0.0007998400426538933,0.0010997800778875242,0.0022002350932009084,0.003503225055126705,0.0075434632961735824,0.012175120622103505,0.018681101655131045,0.027939927378886942,0.0330808273899098
2013-05-09,1.0192,1.0026,0.9406,6.1306,1.3105,1.5502,99.29,5.751,0.8446,6.5058,1.2291,0.00020001833435312477,0.0004000600039999469,0.0007998400426538933,0.0010997800778875242,0.0022002350932009084,0.003503225055126705,0.0075434632961735824,0.012175120622103505,0.018681101655131045,0.02781253866696002,0.033444171612888624
2013-05-10,0.9987,1.0123,0.9594,6.1415,1.2955,1.5334,101.74,5.818,0.8274,6.6185,1.2389,0.00020001833435312477,0.0004000600039999469,0.0007998400426538933,0.0010997800778875242,0.0026006038793180944,0.0038033920937386298,0.008251789116754369,0.012994437857406092,0.01962568838550023,0.028922015421197413,0.034444589765224805
2013-05-13,0.9965,1.0108,0.9576,6.1465,1.2981,1.5291,101.84,5.7987,0.8245,6.6067,1.2413,0.00020001833435312477,0.0005000937578125697,0.0007998400426538933,0.001299740118033398,0.0024001966419178204,0.004004509726305297,0.008352281391705494,0.0132004976218879,0.019835561216640346,0.02926899134355177,0.034807383533617654
2013-05-14,0.9903,1.0149,0.9602,6.1426,1.2969,1.5258,102.18,5.8109,0.8214,6.644,1.2425,0.0001000045834613772,0.0005000937578125697,0.0008997975607296802,0.0011997301034574232,0.002600457401634634,0.004104485916026794,0.008554494834279959,0.01350941785275335,0.02026111799417232,0.029710687556256044,0.03527242081788961
2013-05-15,0.9884,1.0173,0.968,6.1454,1.2857,1.5198,102.44,5.8567,0.8224,6.6792,1.2472,0.0001000045834613772,0.0004000600039999469,0.0008997975607296802,0.0011997301034574232,0.002600457401634634,0.00400405755976887,0.008453522085553314,0.013407522759055528,0.020046452734542895,0.029617458617326887,0.035171660790757606
