Date,id_instr,value
2015-04-18,US3137EAAD15,26250
2015-10-18,US3137EAAD15,26250
2016-04-18,US3137EAAD15,1026250
2007-04-18,US3137EAAJ84,26336.806
2007-10-18,US3137EAAJ84,25625
2008-04-18,US3137EAAJ84,25625
2008-10-18,US3137EAAJ84,25625
2009-04-18,US3137EAAJ84,25625
2009-10-18,US3137EAAJ84,25625
2010-04-18,US3137EAAJ84,25625
2010-10-18,US3137EAAJ84,25625
2011-04-18,US3137EAAJ84,25625
2011-10-18,US3137EAAJ84,25625
2012-04-18,US3137EAAJ84,25625
2012-10-18,US3137EAAJ84,25625
2013-04-18,US3137EAAJ84,25625
2013-10-18,US3137EAAJ84,25625
2014-04-18,US3137EAAJ84,25625
2014-10-18,US3137EAAJ84,25625
2015-04-18,US3137EAAJ84,25625
2015-10-18,US3137EAAJ84,25625
2016-04-18,US3137EAAJ84,25625
2016-10-18,US3137EAAJ84,1025625
2012-09-28,US3135G0NV19,569.444
2013-03-28,US3135G0NV19,2500
2013-09-28,US3135G0NV19,2500
2014-03-28,US3135G0NV19,2500
2014-09-28,US3135G0NV19,2500
2015-03-28,US3135G0NV19,2500
2015-09-28,US3135G0NV19,1002500
2010-12-18,US31398A5W82,979.167
2011-06-18,US31398A5W82,3750
2011-12-18,US31398A5W82,3750
2012-06-18,US31398A5W82,3750
2012-12-18,US31398A5W82,3750
2013-06-18,US31398A5W82,3750
2013-12-18,US31398A5W82,1003750
2011-12-19,US3135G0FY40,666.667
2012-06-19,US3135G0FY40,3750
2012-12-19,US3135G0FY40,3750
2013-06-19,US3135G0FY40,3750
2013-12-19,US3135G0FY40,3750
2014-06-19,US3135G0FY40,3750
2014-12-19,US3135G0FY40,1003750
2012-03-16,US3135G0HG16,416.667
2012-09-16,US3135G0HG16,1875
2013-03-16,US3135G0HG16,1875
2013-09-16,US3135G0HG16,1875
2014-03-16,US3135G0HG16,1875
2014-09-16,US3135G0HG16,1875
2015-03-16,US3135G0HG16,1001875
2013-02-08,US3135G0TG87,753.472
2013-08-08,US3135G0TG87,4375
2014-02-08,US3135G0TG87,4375
2014-08-08,US3135G0TG87,4375
2015-02-08,US3135G0TG87,4375
2015-08-08,US3135G0TG87,4375
2016-02-08,US3135G0TG87,4375
2016-08-08,US3135G0TG87,4375
2017-02-08,US3135G0TG87,4375
2017-08-08,US3135G0TG87,4375
2018-02-08,US3135G0TG87,1004375
2013-05-21,US3135G0WJ89,875
2013-11-21,US3135G0WJ89,4375
2014-05-21,US3135G0WJ89,4375
2014-11-21,US3135G0WJ89,4375
2015-05-21,US3135G0WJ89,4375
2015-11-21,US3135G0WJ89,4375
2016-05-21,US3135G0WJ89,4375
2016-11-21,US3135G0WJ89,4375
2017-05-21,US3135G0WJ89,4375
2017-11-21,US3135G0WJ89,4375
2018-05-21,US3135G0WJ89,1004375
2011-08-28,US3135G0BY85,972.222
2012-02-28,US3135G0BY85,4375
2012-08-28,US3135G0BY85,4375
2013-02-28,US3135G0BY85,4375
2013-08-28,US3135G0BY85,4375
2014-02-28,US3135G0BY85,4375
2014-08-28,US3135G0BY85,1004375
2012-10-26,US3135G0PQ06,777.778
2013-04-26,US3135G0PQ06,4375
